Label,+ACM- Samples,Average,RT+AF8-Request hits,Avaerage+AF8-RT,Median,90+ACU- Line,95+ACU- Line,99+ACU- Line,Min,Max,Error +ACU-,Throughput,Received KB/sec,Sent KB/sec
MangeAddOn+AF8-1+AF8-0+AF8-checkAddOn+AF8-1,188,4862,,,3553,6247,9683,33780,3311,39650,0.000+ACU-,0.02636,0.03,0.02
ProductOrderingManagement+AF8-V1+AF8-0+AF8-modifyOrder+AF8-REMOVE,83,7890,,,4781,15997,24362,37237,4521,55463,0.000+ACU-,0.02344,0.01,0.01
SMSPermissionsMgmt+AF8-V1+AF8-0+AF8-upateKeywordPermissions,307,9521,299,11312,5982,15537,26570,39377,5310,130818,0.977+ACU-,0.04295,0.02,0.03
PaymentManagement+AF8-V1+AF8-0+AF8-getTokenizedCard,190,4191,189,3836,1181,6713,12015,24120,980,140725,0.526+ACU-,0.02664,0.03,0.03
WirelineManagement+AF8-V1+AF8-0+AF8-lineCapabilities,59,3523,69,2649.7777,1280,3146,9143,26943,1234,62314,0.000+ACU-,0.00833,0.01,0
WirelineManagement+AF8-V1+AF8-0+AF8-lineOrderStatus,58,4776,69,5065.55,1317,2461,9271,27593,1266,140104,0.000+ACU-,0.00819,0.01,0
ManageTopup+AF8-1+AF8-0+AF8-topUpBillContract+AF8-1,58,4930,,,1780,2353,9529,25125,1723,130872,0.000+ACU-,0.00819,0.01,0.01
ProductOrderingManagement+AF8-V1+AF8-0+AF8-modifyOrder+AF8-ROAMING+AF8-ADD,8,7214,,,4653,6504,21500,21500,4608,21500,0.000+ACU-,0.00255,0,0
ProductOrderingManagement+AF8-V1+AF8-0+AF8-modifyOrder+AF8-ROAMING+AF8-REMOVE,8,6012,,,4696,7003,12947,12947,4609,12947,0.000+ACU-,0.00256,0,0
TOTAL,232114,3446,,,2581,5854,8760,23700,49,161880,1.143+ACU-,32.18713,46.87,27.95
